GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
biciam,problem.definition,Problem.ProblemType,0,15,0,0,0,1,0,1,0,1
biciam,problem.definition,Operator,3,0,0,0,1,0,1,0,1,0
biciam,problem.definition,Problem,80,31,2,0,24,14,11,9,10,9
biciam,problem.definition,ObjetiveFunction,14,3,0,0,6,1,4,1,4,1
biciam,problem.definition,Codification,0,3,0,0,0,1,0,1,0,1
biciam,problem.definition,State,49,62,5,1,11,24,5,13,2,13
biciam,problem_operators,MutationOperator,44,0,2,0,10,0,4,0,3,0
biciam,problem.extension,MultiObjetivoPuro,82,0,8,0,15,0,6,0,2,0
biciam,problem.extension,FactoresPonderados,155,3,8,0,20,1,5,1,1,1
biciam,problem.extension,TypeSolutionMethod,0,15,0,0,0,2,0,1,0,1
biciam,problem.extension,SolutionMethod,0,3,0,0,0,1,0,1,0,1
biciam,problem.extension,MetricasMultiobjetivo,372,0,44,0,83,0,30,0,8,0
biciam,local_search.candidate_type,CandidateValue,107,3,6,0,28,1,8,1,5,1
biciam,local_search.candidate_type,SearchCandidate,0,3,0,0,0,1,0,1,0,1
biciam,local_search.candidate_type,NotDominatedCandidate,70,0,8,0,19,0,6,0,2,0
biciam,local_search.candidate_type,SmallerCandidate,57,3,6,0,13,1,4,1,1,1
biciam,local_search.candidate_type,RandomCandidate,19,0,0,0,4,0,2,0,2,0
biciam,local_search.candidate_type,CandidateType,0,27,0,0,0,2,0,1,0,1
biciam,local_search.candidate_type,GreaterCandidate,76,0,8,0,17,0,6,0,2,0
biciam,metaheurictics.strategy,Strategy,1098,55,100,2,202,22,70,11,20,10
biciam,metaheuristics.generators,HillClimbingRestart,215,0,6,0,57,0,22,0,19,0
biciam,metaheuristics.generators,TabuSearch,270,0,26,0,71,0,32,0,19,0
biciam,metaheuristics.generators,LimitThreshold,163,0,4,0,48,0,21,0,19,0
biciam,metaheuristics.generators,InstanceGA,53,0,4,0,20,0,6,0,4,0
biciam,metaheuristics.generators,HillClimbing,173,0,4,0,49,0,21,0,19,0
biciam,metaheuristics.generators,LimitRoulette,7,17,0,0,3,7,2,5,2,5
biciam,metaheuristics.generators,InstanceDE,53,0,4,0,20,0,6,0,4,0
biciam,metaheuristics.generators,MultiobjectiveHillClimbingDistance,464,0,36,0,108,0,39,0,21,0
biciam,metaheuristics.generators,Generator,0,3,0,0,0,1,0,1,0,1
biciam,metaheuristics.generators,EvolutionStrategies,374,0,20,0,82,0,31,0,21,0
biciam,metaheuristics.generators,Particle,441,0,22,0,75,0,34,0,23,0
biciam,metaheuristics.generators,ParticleSwarmOptimization,670,0,48,0,132,0,52,0,28,0
biciam,metaheuristics.generators,InstanceEE,53,0,4,0,20,0,6,0,4,0
biciam,metaheuristics.generators,SimulatedAnnealing,178,8,4,0,48,3,19,1,17,1
biciam,metaheuristics.generators,MultiGenerator,685,0,66,0,156,0,66,0,33,0
biciam,metaheuristics.generators,GeneticAlgorithm,438,0,20,0,92,0,31,0,21,0
biciam,metaheuristics.generators,MultiCaseSimulatedAnnealing,174,0,4,0,48,0,20,0,18,0
biciam,metaheuristics.generators,MultiobjectiveTabuSearch,247,0,24,0,68,0,32,0,20,0
biciam,metaheuristics.generators,MultiobjectiveHillClimbingRestart,298,0,20,0,75,0,28,0,18,0
biciam,metaheuristics.generators,DistributionEstimationAlgorithm,480,0,34,0,103,0,41,0,24,0
biciam,metaheuristics.generators,MultiobjectiveStochasticHillClimbing,140,0,2,0,40,0,18,0,17,0
biciam,metaheuristics.generators,GeneratorType,0,99,0,0,0,5,0,1,0,1
biciam,metaheuristics.generators,RandomSearch,106,64,10,0,29,18,20,2,15,2
biciam,factory_method,FactoryCrossover,0,15,0,0,0,4,0,2,0,2
biciam,factory_method,FactoryReplace,0,15,0,0,0,4,0,2,0,2
biciam,factory_method,FactoryGenerator,0,15,0,0,0,4,0,2,0,2
biciam,factory_method,FactoryLoader,16,24,1,1,7,12,2,1,1,1
biciam,factory_method,FactorySolutionMethod,0,15,0,0,0,4,0,2,0,2
biciam,factory_method,FactoryAcceptCandidate,0,15,0,0,0,4,0,2,0,2
biciam,factory_method,FactorySampling,0,15,0,0,0,4,0,2,0,2
biciam,factory_method,FactoryDistribution,0,15,0,0,0,4,0,2,0,2
biciam,factory_method,FactoryCandidate,0,15,0,0,0,4,0,2,0,2
biciam,factory_method,FactoryFatherSelection,0,15,0,0,0,4,0,2,0,2
biciam,factory_method,FactoryMutation,0,15,0,0,0,4,0,2,0,2
biciam,config.tspDynamic,TSPState,0,17,0,0,0,7,0,5,0,5
biciam,evolutionary_algorithms.complement,SelectionType,0,15,0,0,0,2,0,1,0,1
biciam,evolutionary_algorithms.complement,AIOMutation,21,172,4,14,5,32,4,10,1,4
biciam,evolutionary_algorithms.complement,Crossover,0,3,0,0,0,1,0,1,0,1
biciam,evolutionary_algorithms.complement,Mutation,0,3,0,0,0,1,0,1,0,1
biciam,evolutionary_algorithms.complement,UniformCrossover,0,81,1,7,0,17,1,6,0,3
biciam,evolutionary_algorithms.complement,Univariate,50,112,2,12,10,27,2,8,1,2
biciam,evolutionary_algorithms.complement,OnePointCrossover,0,92,0,8,0,18,0,6,0,2
biciam,evolutionary_algorithms.complement,TowPointsMutation,0,51,0,0,0,8,0,2,0,2
biciam,evolutionary_algorithms.complement,TruncationSelection,0,169,1,17,0,27,1,12,0,4
biciam,evolutionary_algorithms.complement,ReplaceType,0,15,0,0,0,2,0,1,0,1
biciam,evolutionary_algorithms.complement,MutationType,0,21,0,0,0,2,0,1,0,1
biciam,evolutionary_algorithms.complement,GenerationalReplace,0,13,0,0,0,4,0,2,0,2
biciam,evolutionary_algorithms.complement,SamplingType,0,9,0,0,0,2,0,1,0,1
biciam,evolutionary_algorithms.complement,OnePointMutation,0,35,0,2,0,7,0,3,0,2
biciam,evolutionary_algorithms.complement,Sampling,0,3,0,0,0,1,0,1,0,1
biciam,evolutionary_algorithms.complement,ProbabilisticSampling,0,223,0,26,0,45,0,16,0,3
biciam,evolutionary_algorithms.complement,Probability,0,24,0,0,0,10,0,7,0,7
biciam,evolutionary_algorithms.complement,SteadyStateReplace,17,213,5,23,3,37,5,13,0,4
biciam,evolutionary_algorithms.complement,Range,24,0,0,0,10,0,7,0,7,0
biciam,evolutionary_algorithms.complement,CrossoverType,0,15,0,0,0,2,0,1,0,1
biciam,evolutionary_algorithms.complement,Distribution,0,3,0,0,0,1,0,1,0,1
biciam,evolutionary_algorithms.complement,Replace,0,3,0,0,0,1,0,1,0,1
biciam,evolutionary_algorithms.complement,FatherSelection,0,3,0,0,0,1,0,1,0,1
biciam,evolutionary_algorithms.complement,DistributionType,0,9,0,0,0,2,0,1,0,1
biciam,evolutionary_algorithms.complement,RouletteSelection,0,155,2,14,0,29,2,8,0,2
biciam,local_search.acceptation_type,AcceptNotBad,21,46,3,5,3,9,2,4,0,2
biciam,local_search.acceptation_type,AcceptNotDominated,3,38,3,3,1,9,3,2,0,2
biciam,local_search.acceptation_type,AcceptAnyone,0,8,0,0,0,3,0,2,0,2
biciam,local_search.acceptation_type,AcceptMulticase,309,3,40,0,57,1,23,1,3,1
biciam,local_search.acceptation_type,AcceptNotBadU,28,44,3,3,4,10,2,3,0,2
biciam,local_search.acceptation_type,AcceptNotBadT,50,56,8,2,6,11,5,2,0,2
biciam,local_search.acceptation_type,AcceptType,0,51,0,0,0,2,0,1,0,1
biciam,local_search.acceptation_type,AcceptNotDominatedTabu,0,26,1,1,0,7,1,2,0,2
biciam,local_search.acceptation_type,AcceptableCandidate,0,3,0,0,0,1,0,1,0,1
biciam,local_search.acceptation_type,Dominance,38,167,18,26,10,30,15,10,0,3
biciam,local_search.acceptation_type,AcceptBest,0,58,0,6,0,11,0,5,0,2
biciam,local_search.complement,StopExecute,12,0,2,0,4,0,3,0,2,0
biciam,local_search.complement,TabuSolutions,58,0,10,0,15,0,8,0,3,0
biciam,local_search.complement,UpdateParameter,76,0,8,0,15,0,6,0,2,0
biciam,local_search.complement,StrategyType,0,15,0,0,0,2,0,1,0,1
